du_lieu,nhan
"quạt đang thổi mạnh quá, cho quạt nghỉ đi giúp tôi",tat_quat
làm ơn bật đèn bàn để học hộ tôi,bat_den
"bàn học mờ quá, mở đèn giúp mình",bat_den
giúp mình bật đèn bàn cho mình nhé,bat_den
giúp tôi mình cần quạt để xem bài hộ tôi,bat_quat
giúp mình tớ muốn mở đèn để đọc rõ hơn giúp tôi,bat_den
"thiếu ánh sáng quá, cho sáng hơn hộ tôi",bat_den
"làm ơn không cần sáng nữa, mình sắp nghỉ mắt giúp mình",tat_den
giúp tôi tớ cần không khí thoáng hơn hộ mình,bat_quat
giúp mình không khí bí bách quá hộ tôi,bat_quat
"giúp mình quạt làm mình lạnh, tắt quạt đi với",tat_quat
"phòng hầm quá, bật quạt lên nhé",bat_quat
giúp mình quạt mạnh quá đi,tat_quat
giúp tôi cho sáng hơn để học nhé,bat_den
bật quạt điện để tiếp tục học với,bat_quat
"này, quạt ồn quá, cho quạt nghỉ đi",tat_quat
"giúp tôi không cần quạt nữa, ngừng quạt lại hộ tôi",tat_quat
"ơi, lúc này mở quạt giúp tôi",bat_quat
anh cần bật quạt hộ mình,bat_quat
"ơi, em muốn thêm ánh sáng",bat_den
"giúp tôi đèn gắt quá, tắt đèn đi giúp tôi",tat_den
"làm ơn đèn gắt quá, cho dịu ánh sáng hơn đi",tat_den
làm ơn anh thấy lạnh rồi hộ tôi,tat_quat
"ơi, tắt ánh sáng để nghỉ mắt đi",tat_den
"ơi, không cần sáng nữa, tắt đèn đi với",tat_den
làm ơn tôi muốn mở đèn để đọc rõ hơn hộ mình,bat_den
"ơi, em muốn bật quạt nhé",bat_quat
đủ mát rồi giúp mình,tat_quat
tôi muốn tắt đèn,tat_den
"này, bật quạt để xem tài liệu cho dễ chịu hộ mình",bat_quat
giúp tôi anh rất cần mở quạt ngay hộ mình,bat_quat
giúp tôi em thấy lạnh rồi hộ tôi,tat_quat
"gió vào mặt khó chịu quá, tắt quạt đi hộ mình",tat_quat
Mình cần thêm ánh sáng,bat_den
"giúp mình quạt đang thổi mạnh quá, thôi không cần quạt nữa giúp tôi",tat_quat
làm ơn tắt đèn trong phòng đi giúp tôi,tat_den
"này, bật ánh sáng để đọc sách đi",bat_den
giúp tôi em muốn yên tĩnh hơn nên tắt quạt giúp tôi,tat_quat
"khó nhìn quá, cho sáng hơn hộ mình",bat_den
giúp tôi mở quạt cho mình nhé,bat_quat
tắt quạt điện vì lạnh rồi giúp mình,tat_quat
"làm ơn ánh sáng mạnh quá, cho dịu ánh sáng hơn đi",tat_den
"giúp mình phòng đang sáng quá, bớt sáng lại giúp mình",tat_den
"này, gió tạt vào người khó chịu, cho quạt nghỉ đi giúp mình",tat_quat
giúp mình tắt đèn học đi nhé,tat_den
mình thấy lạnh rồi giúp tôi,tat_quat
làm ơn tôi rất cần mở đèn để đọc rõ hơn với,bat_den
giúp tôi em muốn yên tĩnh hơn nên tắt quạt giúp mình,tat_quat
em rất cần bật đèn,bat_den
"ơi, chỗ này tối thật, cho sáng hơn",bat_den
"ơi, oi bức quá, cho mát hơn hộ tôi",bat_quat
"làm ơn gió lùa khó chịu quá, ngừng quạt lại nhé",tat_quat
"không cần quạt nữa, tắt quạt đi!",tat_quat
tớ thấy chói mắt quá!,tat_den
"này, quạt ồn quá, thôi không cần quạt nữa hộ tôi",tat_quat
"không muốn quạt nữa, cho quạt nghỉ đi với",tat_quat
giúp mình đủ mát rồi hộ mình,tat_quat
"ơi, gắt quá, bớt sáng lại nhé",tat_den
đèn rọi vào mắt khó chịu quá giúp mình,tat_den
"gây chói mắt, bớt sáng lại hộ tôi",tat_den
"quạt ồn quá, tắt quạt đi hộ tôi",tat_quat
"này, tớ rất cần sáng hơn một chút giúp mình",bat_den
"ơi, mình muốn ngủ, tắt đèn đi đi",tat_den
"làm ơn gió tạt vào người khó chịu, ngừng quạt lại đi",tat_quat
làm ơn quạt làm mình lạnh hộ tôi,tat_quat
lạnh quá.,tat_quat
tắt đèn học để nghỉ mắt đi,tat_den
làm ơn anh rất cần mở quạt ngay với,bat_quat
"này, bật đèn học để đọc sách giúp tôi",bat_den
"ơi, tớ rất cần mở đèn để đọc rõ hơn nhé",bat_den
"này, cho tối hơn để chợp mắt hộ mình",tat_den
"giúp tôi quạt ồn quá, tắt quạt đi với",tat_quat
"làm ơn ánh sáng mạnh quá, cho dịu ánh sáng hơn",tat_den
giúp mình em cần không khí thoáng hơn nhé,bat_quat
giúp tôi tắt quạt để đọc yên tĩnh với,tat_quat
"này, cho sáng hơn để viết bài giúp tôi",bat_den
mở đèn cho mình ghi chép hộ tôi,bat_den
"này, tắt quạt bàn hộ mình",tat_quat
làm ơn mở đèn lên để mình tập trung học đi,bat_den
mở đèn học để học đi,bat_den
"ơi, tớ muốn tắt quạt giúp tôi",tat_quat
"ơi, góc học thiếu sáng quá với",bat_den
giúp mình tớ thấy lạnh rồi giúp mình,tat_quat
chỗ này tối thật!,bat_den
"này, mồ hôi bắt đầu ra rồi, mở quạt đi giúp tôi",bat_quat
"ơi, đèn rọi mạnh quá, cho dịu ánh sáng hơn hộ tôi",tat_den
giúp tôi cho tối hơn để nghỉ mắt hộ mình,tat_den
giúp mình em muốn bật đèn với,bat_den
làm ơn mình cần không khí thoáng hơn hộ tôi,bat_quat
"làm ơn mồ hôi bắt đầu ra rồi, cần gió một chút hộ tôi",bat_quat
"giúp tôi mắt mỏi vì đèn quá sáng, bớt sáng lại hộ mình",tat_den
tớ muốn bật đèn.,bat_den
giúp mình tôi muốn tắt đèn hộ mình,tat_den
giúp mình tôi rất cần mở đèn để đọc rõ hơn với,bat_den
"ơi, không cần gió nữa đâu hộ tôi",tat_quat
"Không cần sáng nữa, mình sắp nghỉ",tat_den
làm ơn tớ không cần quạt nữa hộ tôi,tat_quat
làm ơn phòng hầm quá giúp tôi,bat_quat
làm ơn cần sáng hơn để ghi chép với,bat_den
"làm ơn không muốn quạt nữa, thôi không cần quạt nữa nhé",tat_quat
"gió mạnh quá, thôi không cần quạt nữa hộ tôi",tat_quat
"này, mở đèn bàn để học giúp mình",bat_den
phòng tự học nóng quá đi,bat_quat
Lúc này mở ánh sáng,bat_den
giúp mình tớ cần bật đèn với,bat_den
"Đủ mát rồi, tắt quạt đi",tat_quat
"này, bật đèn bàn để làm bài giúp tôi",bat_den
"làm ơn quạt chạy to quá, cho quạt nghỉ đi hộ mình",tat_quat
"này, tôi cần bật đèn hộ tôi",bat_den
"này, cho yên hơn để nghỉ giúp tôi",tat_quat
"giúp mình khó chịu vì nóng, cho mát hơn nhé",bat_quat
"ơi, tôi rất cần mở đèn để đọc rõ hơn giúp mình",bat_den
"ơi, tắt đèn bàn để nghỉ mắt hộ mình",tat_den
"này, tớ muốn tắt quạt nhé",tat_quat
"này, phòng nóng thật, cần gió một chút nhé",bat_quat
giúp tôi tắt đèn để chuẩn bị ngủ,tat_den
"làm ơn oi bức quá, mở quạt đi hộ tôi",bat_quat
"này, tớ thấy lạnh rồi",tat_quat
"ơi, thôi đừng quạt nữa",tat_quat
"này, cần mát hơn, mở quạt đi đi",bat_quat
giúp tôi anh đang cần không khí thoáng hơn với,bat_quat
mồ hôi bắt đầu ra rồi đi,bat_quat
"này, mình muốn tập trung, tắt quạt đi hộ tôi",tat_quat
"này, khí trong phòng ngột ngạt, bật quạt lên với",bat_quat
làm ơn anh thấy chói mắt quá nhé,tat_den
"này, lúc này mở ánh sáng giúp tôi",bat_den
"giúp mình lạnh quá, tắt quạt đi hộ mình",tat_quat
giúp mình chữ mờ quá nhé,bat_den
làm ơn mát rồi giúp mình,tat_quat
"ơi, bật đèn bàn để đọc sách hộ mình",bat_den
"ơi, tớ muốn bật quạt với",bat_quat
chỗ ngồi chưa đủ sáng để học giúp mình,bat_den
đèn sáng quá với,tat_den
"ơi, tắt quạt vì lạnh rồi với",tat_quat
tôi không cần đèn nữa hộ mình,tat_den
"này, ngay bây giờ mở ánh sáng",bat_den
"làm ơn phòng không thoáng, mở quạt đi hộ tôi",bat_quat
giúp tôi bật quạt trong phòng,bat_quat
tắt đèn học đi.,tat_den
"ơi, gió mạnh quá, thôi không cần quạt nữa hộ mình",tat_quat
"làm ơn mát rồi, tắt quạt đi hộ tôi",tat_quat
"ơi, em muốn thêm ánh sáng nhé",bat_den
"này, phòng nóng thật, bật quạt lên đi",bat_quat
ngột ngạt quá đi,bat_quat
"giúp mình gió tạt vào người khó chịu, ngừng quạt lại đi",tat_quat
giúp tôi căn phòng thiếu sáng quá nhé,bat_den
giúp tôi ngay bật ánh sáng đi,bat_den
giúp mình bật quạt để xem bài cho dễ chịu giúp mình,bat_quat
"giúp tôi quạt đang thổi mạnh quá, thôi không cần quạt nữa đi",tat_quat
"giúp mình lạnh quá, ngừng quạt lại",tat_quat
"ơi, bớt đèn bàn lại đi",tat_den
giúp tôi tắt ánh sáng để chuẩn bị ngủ với,tat_den
"làm ơn bàn học mờ quá, mở đèn giúp mình đi",bat_den
phòng đang sáng quá!,tat_den
"giúp mình gắt quá, cho dịu ánh sáng hơn hộ tôi",tat_den
"ơi, tớ muốn yên tĩnh hơn nên tắt quạt giúp mình",tat_quat
bật quạt nhé,bat_quat
giúp mình lạnh rồi hộ tôi,tat_quat
"giúp mình không thấy rõ, mở đèn đi với",bat_den
"ơi, bật quạt bàn",bat_quat
giúp tôi em muốn yên tĩnh hơn nên tắt quạt đi,tat_quat
"này, tắt quạt để tập trung hộ tôi",tat_quat
"giúp mình bí quá, cần gió một chút giúp tôi",bat_quat
"làm ơn lạnh quá, tắt quạt đi giúp tôi",tat_quat
tớ cần bật đèn đi,bat_den
giúp mình ánh sáng làm mình mỏi mắt giúp tôi,tat_den
giúp tôi tớ rất cần mở quạt ngay nhé,bat_quat
"không cần sáng nữa, bớt sáng lại hộ tôi",tat_den
giúp mình tắt đèn bàn để chuẩn bị ngủ giúp tôi,tat_den
"này, bớt ánh sáng đi",tat_den
"làm ơn không cần quạt nữa, cho quạt nghỉ đi hộ mình",tat_quat
"ơi, lạnh quá, thôi không cần quạt nữa",tat_quat
"này, cần sáng hơn để viết bài hộ mình",bat_den
"giúp tôi góc học ngột ngạt quá, bật quạt lên giúp mình",bat_quat
giúp tôi chỗ ngồi chưa đủ sáng để học giúp tôi,bat_den
làm ơn oi bức quá,bat_quat
"làm ơn tối mắt quá, mở đèn đi giúp tôi",bat_den
giúp mình sáng quá giúp tôi,tat_den
làm ơn phòng hơi tối,bat_den
làm ơn ngột ngạt quá hộ tôi,bat_quat
giúp mình tôi đang cần bật đèn,bat_den
"này, quạt ồn quá, ngừng quạt lại hộ mình",tat_quat
"ơi, tớ rất cần không khí thoáng hơn",bat_quat
"này, tớ rất cần không khí thoáng hơn nhé",bat_quat
"giúp tôi quạt đang thổi mạnh quá, tắt quạt đi nhé",tat_quat
làm ơn dừng quạt lại giúp mình đi,tat_quat
"ơi, không cần sáng nữa, mình sắp thư giãn hộ mình",tat_den
"này, ánh sáng đang hơi gắt, tắt đèn giúp mình hộ mình",tat_den
"làm ơn không cần sáng nữa, mình sắp thư giãn hộ tôi",tat_den
gây chói mắt,tat_den
giúp tôi bật quạt bàn để tiếp tục học giúp mình,bat_quat
"này, mình muốn nghỉ, tắt đèn đi đi",tat_den
gây chói mắt giúp mình,tat_den
"này, bật đèn để xem bài hộ mình",bat_den
tôi muốn yên tĩnh hơn nên tắt quạt với,tat_quat
làm ơn tớ muốn bật đèn,bat_den
"giúp mình phòng hầm quá, bật quạt lên nhé",bat_quat
"ơi, gây chói mắt, tắt đèn đi hộ tôi",tat_den
giúp tôi ngay bật đèn bàn hộ tôi,bat_den
đủ sáng rồi,tat_den
giúp tôi thấy nóng nực quá hộ tôi,bat_quat
"ơi, bật quạt điện để mát hơn giúp tôi",bat_quat
"giúp tôi không muốn quạt nữa, tắt quạt đi đi",tat_quat
"ơi, mình muốn tắt quạt hộ tôi",tat_quat
"ơi, tắt quạt bàn để đỡ ồn",tat_quat
"làm ơn quạt chạy to quá, thôi không cần quạt nữa đi",tat_quat
"giúp mình đèn chưa đủ sáng, cho sáng hơn giúp tôi",bat_den
giúp tôi tắt quạt trong phòng đi,tat_quat
bớt đèn trong phòng lại nhé,tat_den
"này, anh muốn yên tĩnh hơn nên tắt quạt",tat_quat
"giúp mình gió mạnh quá, cho quạt nghỉ đi hộ mình",tat_quat
"này, mình xong việc rồi, tắt đèn đi hộ mình",tat_den
giúp mình bàn học chưa đủ sáng để học giúp tôi,bat_den
tôi thấy chói mắt quá,tat_den
Tắt quạt bàn cho mình,tat_quat
"giúp tôi ánh sáng làm mình mỏi mắt, tắt đèn đi với",tat_den
"này, quạt đâu rồi, bật lên đi đi",bat_quat
"làm ơn đèn gắt quá, giảm ánh sáng đi với",tat_den
"gió mạnh quá, thôi không cần quạt nữa đi",tat_quat
làm ơn cho phòng tối hơn một chút giúp tôi,tat_den
giúp mình mình thấy chói mắt quá,tat_den
"không đủ sáng, bật đèn lên giúp mình",bat_den
mắt mỏi vì đèn quá sáng hộ mình,tat_den
"giúp tôi quạt làm mình lạnh, cho quạt nghỉ đi giúp mình",tat_quat
"ơi, bàn học ngột ngạt quá, bật quạt lên hộ tôi",bat_quat
làm ơn giảm đèn học lại hộ mình,tat_den
"Bàn học tối quá, cần thêm ánh sáng",bat_den
"ơi, mở ánh sáng",bat_den
tôi rất cần bật đèn!,bat_den
"này, mở đèn để đọc sách giúp mình",bat_den
bây giờ bật quạt bàn!,bat_quat
"giúp mình oi quá, bật quạt lên hộ mình",bat_quat
giúp tôi tắt ánh sáng để chuẩn bị ngủ hộ tôi,tat_den
giúp tôi mở đèn lên giúp tôi,bat_den
"giúp tôi mát rồi, cho quạt nghỉ đi nhé",tat_quat
giúp tôi ngay bây giờ bật đèn trong phòng đi,bat_den
lúc này mở đèn trong phòng!,bat_den
"trời tối rồi, mở đèn đi hộ mình",bat_den
giúp mình tắt quạt vì lạnh rồi hộ mình,tat_quat
giúp mình tắt quạt trong phòng đi giúp tôi,tat_quat
làm ơn lúc này bật đèn hộ tôi,bat_den
giúp mình tớ muốn tắt đèn nhé,tat_den
giúp mình thôi đừng quạt nữa với,tat_quat
"ơi, anh muốn sáng hơn một chút",bat_den
làm ơn tắt đèn để thư giãn hộ mình,tat_den
làm ơn ngay bật đèn bàn nhé,bat_den
"giúp mình không cần quạt nữa, thôi không cần quạt nữa giúp mình",tat_quat
giúp mình quạt làm mình lạnh đi,tat_quat
"sáng quá, cho dịu ánh sáng hơn.",tat_den
làm ơn cần mát hơn giúp mình,bat_quat
"đèn rọi mạnh quá, cho dịu ánh sáng hơn giúp mình",tat_den
giúp tôi mở đèn bàn để làm bài giúp tôi,bat_den
"mình chỉ muốn nghỉ ngơi thôi, tắt đèn nhé giúp mình",tat_den
"này, cho yên hơn để đọc yên tĩnh với",tat_quat
mở đèn lên.,bat_den
giúp tôi tắt quạt để nghỉ,tat_quat
"ơi, mình muốn thư giãn, tắt quạt đi đi",tat_quat
"ơi, cần sáng hơn để đọc tài liệu giúp tôi",bat_den
giúp tôi em thấy lạnh rồi với,tat_quat
"ơi, anh đang cần mở quạt ngay giúp mình",bat_quat
làm ơn mình cần thêm ánh sáng với,bat_den
mình muốn tắt đèn hộ mình,tat_den
"giúp tôi bí quá, mở quạt đi giúp tôi",bat_quat
làm ơn tớ muốn tắt quạt hộ mình,tat_quat
"ơi, khó chịu vì chói",tat_den
lúc này mở quạt bàn!,bat_quat
giúp tôi tôi đang cần mở quạt ngay hộ mình,bat_quat
làm ơn quạt làm mình lạnh với,tat_quat
"ơi, tôi muốn không khí thoáng hơn nhé",bat_quat
"giúp mình không muốn quạt nữa, cho quạt nghỉ đi giúp tôi",tat_quat
"ơi, bật đèn để đọc sách hộ mình",bat_den
làm ơn bật đèn trong phòng để đọc sách giúp tôi,bat_den
"giúp mình thiếu ánh sáng quá, bật đèn lên",bat_den
"giúp mình góc học ngột ngạt quá, bật quạt lên hộ mình",bat_quat
"ơi, tắt đèn để chợp mắt hộ mình",tat_den
"giúp mình khó chịu vì chói, bớt sáng lại hộ mình",tat_den
làm ơn mở quạt trong phòng để dễ chịu hơn,bat_quat
"này, tắt quạt để đỡ ồn giúp tôi",tat_quat
giúp mình mở đèn cho mình ôn bài nhé,bat_den
"khó chịu vì nóng, cho mát hơn nhé",bat_quat
gắt quá giúp tôi,tat_den
làm ơn cho sáng hơn để đọc sách hộ mình,bat_den
"ơi, chỗ ngồi hơi tối, bật đèn lên đi",bat_den
"làm ơn không thoáng chút nào, cho mát hơn với",bat_quat
em muốn tắt quạt đi,tat_quat
"giúp tôi không muốn quạt nữa, thôi không cần quạt nữa",tat_quat
giúp tôi tôi không cần quạt nữa,tat_quat
"này, chỗ ngồi ngột ngạt quá, bật quạt lên nhé",bat_quat
"ơi, tắt đèn bàn để chuẩn bị ngủ giúp tôi",tat_den
"này, mở ánh sáng cho mình",bat_den
làm ơn mình cần không khí thoáng hơn hộ mình,bat_quat
làm ơn tớ muốn tắt đèn,tat_den
"ơi, tôi muốn mở đèn để đọc rõ hơn hộ tôi",bat_den
"đèn gắt quá, tắt đèn đi với",tat_den
"ơi, tắt ánh sáng giúp mình",tat_den
"giúp tôi mình muốn đọc yên tĩnh, tắt quạt đi với",tat_quat
"giúp mình nóng quá, bật quạt lên hộ tôi",bat_quat
bớt đèn học đi với,tat_den
giúp mình tắt đèn để chuẩn bị ngủ nhé,tat_den
"ơi, em muốn yên tĩnh hơn nên tắt quạt đi",tat_quat
"ơi, mình đang cần mát hơn với",bat_quat
"đèn gắt quá, cho dịu ánh sáng hơn hộ mình",tat_den
làm ơn tắt đèn để nghỉ mắt đi,tat_den
"giúp mình chói quá, cho dịu ánh sáng hơn hộ tôi",tat_den
"đèn sáng quá, cho dịu ánh sáng hơn.",tat_den
Mở ánh sáng cho mình,bat_den
em muốn bật quạt hộ mình,bat_quat
"ơi, cần sáng hơn để viết bài với",bat_den
làm ơn mình chuẩn bị ngủ nên tắt đèn giúp mình,tat_den
giúp tôi mình thấy lạnh rồi hộ tôi,tat_quat
"giúp tôi chỗ này tối thật, bật đèn lên với",bat_den
"này, bàn học bí quá hộ tôi",bat_quat
đủ sáng rồi giúp tôi,tat_den
"ơi, anh muốn yên tĩnh hơn nên tắt quạt hộ tôi",tat_quat
"này, phòng bí quá giúp tôi",bat_quat
"căn phòng ngột ngạt quá, bật quạt lên.",bat_quat
giúp tôi bật đèn cho rõ bài hơn với,bat_den
"ơi, bật quạt để mát hơn với",bat_quat
làm ơn tôi muốn tắt đèn với,tat_den
"Nóng quá, mở quạt đi",bat_quat
"giúp mình trời tối rồi, mở đèn đi giúp tôi",bat_den
"ơi, đủ sáng rồi, bớt sáng lại giúp mình",tat_den
giúp mình tớ muốn bật quạt,bat_quat
giúp tôi tắt quạt bàn giúp tôi,tat_quat
giúp tôi em cần sáng hơn một chút hộ tôi,bat_den
"này, ra mồ hôi rồi, cho mát hơn hộ mình",bat_quat
"giúp tôi lạnh rồi, tắt quạt đi giúp mình",tat_quat
"này, không thấy rõ, cần thêm ánh sáng",bat_den
"này, chói quá, bớt sáng lại với",tat_den
làm ơn ngay mở quạt với,bat_quat
"giúp tôi mát rồi, tắt quạt đi nhé",tat_quat
"này, bật quạt bàn để tiếp tục học nhé",bat_quat
tôi đang cần bật đèn hộ tôi,bat_den
"này, quạt làm mình lạnh, thôi không cần quạt nữa đi",tat_quat
"giúp mình mình đang đổ mồ hôi, bật quạt giúp mình",bat_quat
giúp mình tôi đang cần thêm ánh sáng,bat_den
giúp tôi phòng đang sáng quá nhé,tat_den
"này, mình muốn mát hơn nhé",bat_quat
"này, tớ muốn yên tĩnh hơn nên tắt quạt hộ tôi",tat_quat
