text,device,intent
làm ơn bật đèn,đèn,ON
giúp mình không bật đèn,đèn,OFF
tắt đèn,đèn,OFF
cho tôi khỏi cần đóng đèn,đèn,ON
giúp mình cho mạnh hơn đèn,đèn,INCREASE
không cần làm mạnh hơn đèn,đèn,DECREASE
vui lòng vặn nhỏ đèn,đèn,DECREASE
làm ơn đừng có cho yếu đi đèn,đèn,INCREASE
vui lòng mở quạt,quạt,ON
đừng có bật quạt,quạt,OFF
vui lòng đóng quạt,quạt,OFF
giúp mình đừng có tắt quạt,quạt,ON
cho tôi tăng quạt,quạt,INCREASE
không tăng quạt,quạt,DECREASE
vui lòng vặn nhỏ quạt,quạt,DECREASE
vui lòng khỏi cần giảm quạt,quạt,INCREASE
cho tôi mở đèn,đèn,ON
vui lòng không mở đèn,đèn,OFF
giúp mình tắt đèn,đèn,OFF
cho tôi đừng tắt đèn,đèn,ON
cho tôi vặn to đèn,đèn,INCREASE
giúp mình đừng cho mạnh hơn đèn,đèn,DECREASE
làm ơn vặn nhỏ đèn,đèn,DECREASE
vui lòng đừng có cho yếu đi đèn,đèn,INCREASE
làm ơn bật quạt,quạt,ON
không mở quạt,quạt,OFF
vui lòng tắt quạt,quạt,OFF
vui lòng không tắt quạt,quạt,ON
làm ơn làm mạnh hơn quạt,quạt,INCREASE
làm ơn đừng làm mạnh hơn quạt,quạt,DECREASE
làm ơn giảm quạt,quạt,DECREASE
cho tôi khỏi cần cho yếu đi quạt,quạt,INCREASE
làm ơn bật đèn,đèn,ON
cho tôi đừng mở đèn,đèn,OFF
vui lòng tắt đèn,đèn,OFF
giúp mình đừng có tắt đèn,đèn,ON
làm ơn làm mạnh hơn đèn,đèn,INCREASE
vui lòng khỏi cần cho mạnh hơn đèn,đèn,DECREASE
làm nhẹ lại đèn,đèn,DECREASE
vui lòng đừng có làm nhẹ lại đèn,đèn,INCREASE
làm ơn bật quạt,quạt,ON
cho tôi đừng có bật quạt,quạt,OFF
cho tôi đóng quạt,quạt,OFF
đừng có đóng quạt,quạt,ON
làm ơn cho mạnh hơn quạt,quạt,INCREASE
khỏi cần làm mạnh hơn quạt,quạt,DECREASE
giúp mình vặn nhỏ quạt,quạt,DECREASE
giúp mình đừng có cho yếu đi quạt,quạt,INCREASE
cho tôi bật đèn,đèn,ON
cho tôi không bật đèn,đèn,OFF
làm ơn đóng đèn,đèn,OFF
cho tôi đừng có tắt đèn,đèn,ON
cho tôi làm mạnh hơn đèn,đèn,INCREASE
đừng cho mạnh hơn đèn,đèn,DECREASE
làm ơn làm nhẹ lại đèn,đèn,DECREASE
giúp mình không cần làm nhẹ lại đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
làm ơn khỏi cần bật quạt,quạt,OFF
giúp mình đóng quạt,quạt,OFF
giúp mình không cần đóng quạt,quạt,ON
làm mạnh hơn quạt,quạt,INCREASE
vui lòng không tăng quạt,quạt,DECREASE
giúp mình giảm quạt,quạt,DECREASE
cho tôi đừng làm nhẹ lại quạt,quạt,INCREASE
bật đèn,đèn,ON
giúp mình đừng có mở đèn,đèn,OFF
giúp mình tắt đèn,đèn,OFF
vui lòng đừng có đóng đèn,đèn,ON
làm ơn vặn to đèn,đèn,INCREASE
vui lòng đừng tăng đèn,đèn,DECREASE
giúp mình giảm đèn,đèn,DECREASE
vui lòng không vặn nhỏ đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
vui lòng không cần mở quạt,quạt,OFF
đóng quạt,quạt,OFF
không tắt quạt,quạt,ON
làm mạnh hơn quạt,quạt,INCREASE
giúp mình không vặn to quạt,quạt,DECREASE
làm ơn làm nhẹ lại quạt,quạt,DECREASE
giúp mình khỏi cần giảm quạt,quạt,INCREASE
làm ơn mở đèn,đèn,ON
làm ơn không mở đèn,đèn,OFF
vui lòng tắt đèn,đèn,OFF
cho tôi không cần đóng đèn,đèn,ON
giúp mình tăng đèn,đèn,INCREASE
đừng làm mạnh hơn đèn,đèn,DECREASE
giúp mình vặn nhỏ đèn,đèn,DECREASE
làm ơn không làm nhẹ lại đèn,đèn,INCREASE
làm ơn mở quạt,quạt,ON
vui lòng đừng có bật quạt,quạt,OFF
giúp mình tắt quạt,quạt,OFF
cho tôi không đóng quạt,quạt,ON
vui lòng cho mạnh hơn quạt,quạt,INCREASE
vui lòng không cần tăng quạt,quạt,DECREASE
vui lòng vặn nhỏ quạt,quạt,DECREASE
giúp mình khỏi cần giảm quạt,quạt,INCREASE
mở đèn,đèn,ON
giúp mình khỏi cần mở đèn,đèn,OFF
đóng đèn,đèn,OFF
làm ơn không cần đóng đèn,đèn,ON
vui lòng tăng đèn,đèn,INCREASE
giúp mình không cần cho mạnh hơn đèn,đèn,DECREASE
cho tôi cho yếu đi đèn,đèn,DECREASE
không giảm đèn,đèn,INCREASE
giúp mình bật quạt,quạt,ON
cho tôi không bật quạt,quạt,OFF
giúp mình tắt quạt,quạt,OFF
cho tôi đừng tắt quạt,quạt,ON
giúp mình vặn to quạt,quạt,INCREASE
giúp mình khỏi cần vặn to quạt,quạt,DECREASE
giảm quạt,quạt,DECREASE
cho tôi đừng làm nhẹ lại quạt,quạt,INCREASE
làm ơn bật đèn,đèn,ON
giúp mình không cần mở đèn,đèn,OFF
giúp mình tắt đèn,đèn,OFF
vui lòng không cần tắt đèn,đèn,ON
vui lòng làm mạnh hơn đèn,đèn,INCREASE
cho tôi khỏi cần làm mạnh hơn đèn,đèn,DECREASE
cho tôi làm nhẹ lại đèn,đèn,DECREASE
vui lòng không cần giảm đèn,đèn,INCREASE
bật quạt,quạt,ON
vui lòng không cần bật quạt,quạt,OFF
vui lòng đóng quạt,quạt,OFF
đừng đóng quạt,quạt,ON
vui lòng làm mạnh hơn quạt,quạt,INCREASE
cho tôi đừng có cho mạnh hơn quạt,quạt,DECREASE
làm ơn cho yếu đi quạt,quạt,DECREASE
không cần làm nhẹ lại quạt,quạt,INCREASE
làm ơn bật đèn,đèn,ON
đừng có mở đèn,đèn,OFF
tắt đèn,đèn,OFF
giúp mình đừng có đóng đèn,đèn,ON
vui lòng cho mạnh hơn đèn,đèn,INCREASE
giúp mình không làm mạnh hơn đèn,đèn,DECREASE
làm ơn giảm đèn,đèn,DECREASE
vui lòng đừng cho yếu đi đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
không mở quạt,quạt,OFF
cho tôi tắt quạt,quạt,OFF
giúp mình khỏi cần đóng quạt,quạt,ON
làm ơn vặn to quạt,quạt,INCREASE
cho tôi khỏi cần vặn to quạt,quạt,DECREASE
vui lòng làm nhẹ lại quạt,quạt,DECREASE
làm ơn không giảm quạt,quạt,INCREASE
vui lòng bật đèn,đèn,ON
cho tôi không mở đèn,đèn,OFF
cho tôi tắt đèn,đèn,OFF
không cần đóng đèn,đèn,ON
cho tôi vặn to đèn,đèn,INCREASE
cho tôi đừng có làm mạnh hơn đèn,đèn,DECREASE
làm ơn cho yếu đi đèn,đèn,DECREASE
giúp mình không cần vặn nhỏ đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
không cần bật quạt,quạt,OFF
vui lòng đóng quạt,quạt,OFF
vui lòng đừng có tắt quạt,quạt,ON
vui lòng vặn to quạt,quạt,INCREASE
làm ơn đừng có cho mạnh hơn quạt,quạt,DECREASE
vui lòng vặn nhỏ quạt,quạt,DECREASE
đừng vặn nhỏ quạt,quạt,INCREASE
cho tôi mở đèn,đèn,ON
không bật đèn,đèn,OFF
cho tôi tắt đèn,đèn,OFF
cho tôi không đóng đèn,đèn,ON
làm mạnh hơn đèn,đèn,INCREASE
làm ơn không tăng đèn,đèn,DECREASE
cho tôi giảm đèn,đèn,DECREASE
đừng có giảm đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
vui lòng đừng có mở quạt,quạt,OFF
đóng quạt,quạt,OFF
đừng có tắt quạt,quạt,ON
vui lòng cho mạnh hơn quạt,quạt,INCREASE
làm ơn không cần làm mạnh hơn quạt,quạt,DECREASE
giúp mình làm nhẹ lại quạt,quạt,DECREASE
giúp mình khỏi cần làm nhẹ lại quạt,quạt,INCREASE
cho tôi mở đèn,đèn,ON
không bật đèn,đèn,OFF
tắt đèn,đèn,OFF
vui lòng khỏi cần đóng đèn,đèn,ON
làm ơn tăng đèn,đèn,INCREASE
cho tôi không cho mạnh hơn đèn,đèn,DECREASE
vui lòng cho yếu đi đèn,đèn,DECREASE
cho tôi đừng vặn nhỏ đèn,đèn,INCREASE
giúp mình bật quạt,quạt,ON
cho tôi đừng có mở quạt,quạt,OFF
làm ơn đóng quạt,quạt,OFF
vui lòng không cần tắt quạt,quạt,ON
làm ơn tăng quạt,quạt,INCREASE
làm ơn không cần vặn to quạt,quạt,DECREASE
làm ơn cho yếu đi quạt,quạt,DECREASE
cho tôi không cho yếu đi quạt,quạt,INCREASE
bật đèn,đèn,ON
cho tôi không mở đèn,đèn,OFF
vui lòng tắt đèn,đèn,OFF
không đóng đèn,đèn,ON
làm ơn tăng đèn,đèn,INCREASE
làm ơn đừng có làm mạnh hơn đèn,đèn,DECREASE
giúp mình cho yếu đi đèn,đèn,DECREASE
làm ơn đừng cho yếu đi đèn,đèn,INCREASE
làm ơn bật quạt,quạt,ON
làm ơn đừng có mở quạt,quạt,OFF
cho tôi tắt quạt,quạt,OFF
giúp mình không tắt quạt,quạt,ON
làm ơn làm mạnh hơn quạt,quạt,INCREASE
cho tôi đừng có cho mạnh hơn quạt,quạt,DECREASE
cho tôi làm nhẹ lại quạt,quạt,DECREASE
làm ơn đừng có giảm quạt,quạt,INCREASE
làm ơn mở đèn,đèn,ON
cho tôi khỏi cần bật đèn,đèn,OFF
đóng đèn,đèn,OFF
vui lòng đừng có đóng đèn,đèn,ON
cho tôi cho mạnh hơn đèn,đèn,INCREASE
giúp mình khỏi cần làm mạnh hơn đèn,đèn,DECREASE
vui lòng vặn nhỏ đèn,đèn,DECREASE
vui lòng đừng có làm nhẹ lại đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
đừng có mở quạt,quạt,OFF
làm ơn tắt quạt,quạt,OFF
khỏi cần tắt quạt,quạt,ON
vui lòng cho mạnh hơn quạt,quạt,INCREASE
cho tôi không cần làm mạnh hơn quạt,quạt,DECREASE
cho tôi vặn nhỏ quạt,quạt,DECREASE
làm ơn khỏi cần giảm quạt,quạt,INCREASE
cho tôi bật đèn,đèn,ON
vui lòng không cần mở đèn,đèn,OFF
làm ơn tắt đèn,đèn,OFF
giúp mình khỏi cần tắt đèn,đèn,ON
giúp mình vặn to đèn,đèn,INCREASE
giúp mình đừng cho mạnh hơn đèn,đèn,DECREASE
làm ơn giảm đèn,đèn,DECREASE
vui lòng không cần vặn nhỏ đèn,đèn,INCREASE
làm ơn mở quạt,quạt,ON
làm ơn đừng bật quạt,quạt,OFF
đóng quạt,quạt,OFF
vui lòng không cần đóng quạt,quạt,ON
làm ơn cho mạnh hơn quạt,quạt,INCREASE
giúp mình đừng có làm mạnh hơn quạt,quạt,DECREASE
giúp mình vặn nhỏ quạt,quạt,DECREASE
cho tôi đừng có vặn nhỏ quạt,quạt,INCREASE
giúp mình bật đèn,đèn,ON
làm ơn đừng bật đèn,đèn,OFF
giúp mình tắt đèn,đèn,OFF
cho tôi khỏi cần tắt đèn,đèn,ON
làm ơn làm mạnh hơn đèn,đèn,INCREASE
vui lòng đừng cho mạnh hơn đèn,đèn,DECREASE
vui lòng giảm đèn,đèn,DECREASE
vui lòng đừng vặn nhỏ đèn,đèn,INCREASE
làm ơn mở quạt,quạt,ON
làm ơn đừng có bật quạt,quạt,OFF
vui lòng đóng quạt,quạt,OFF
khỏi cần đóng quạt,quạt,ON
vặn to quạt,quạt,INCREASE
vui lòng khỏi cần vặn to quạt,quạt,DECREASE
giúp mình cho yếu đi quạt,quạt,DECREASE
giúp mình đừng có vặn nhỏ quạt,quạt,INCREASE
cho tôi bật đèn,đèn,ON
đừng có mở đèn,đèn,OFF
vui lòng tắt đèn,đèn,OFF
giúp mình đừng đóng đèn,đèn,ON
làm mạnh hơn đèn,đèn,INCREASE
làm ơn khỏi cần tăng đèn,đèn,DECREASE
cho tôi cho yếu đi đèn,đèn,DECREASE
cho tôi không giảm đèn,đèn,INCREASE
bật quạt,quạt,ON
cho tôi khỏi cần mở quạt,quạt,OFF
giúp mình tắt quạt,quạt,OFF
làm ơn không cần đóng quạt,quạt,ON
cho mạnh hơn quạt,quạt,INCREASE
vui lòng không cần làm mạnh hơn quạt,quạt,DECREASE
vui lòng giảm quạt,quạt,DECREASE
vui lòng đừng vặn nhỏ quạt,quạt,INCREASE
làm ơn bật đèn,đèn,ON
làm ơn không bật đèn,đèn,OFF
tắt đèn,đèn,OFF
vui lòng đừng đóng đèn,đèn,ON
làm mạnh hơn đèn,đèn,INCREASE
giúp mình không cần vặn to đèn,đèn,DECREASE
cho tôi vặn nhỏ đèn,đèn,DECREASE
cho tôi không giảm đèn,đèn,INCREASE
làm ơn bật quạt,quạt,ON
giúp mình đừng bật quạt,quạt,OFF
giúp mình đóng quạt,quạt,OFF
làm ơn khỏi cần tắt quạt,quạt,ON
làm ơn tăng quạt,quạt,INCREASE
giúp mình không tăng quạt,quạt,DECREASE
làm ơn cho yếu đi quạt,quạt,DECREASE
đừng có cho yếu đi quạt,quạt,INCREASE
cho tôi mở đèn,đèn,ON
vui lòng đừng mở đèn,đèn,OFF
giúp mình đóng đèn,đèn,OFF
cho tôi đừng có đóng đèn,đèn,ON
làm ơn cho mạnh hơn đèn,đèn,INCREASE
vui lòng đừng cho mạnh hơn đèn,đèn,DECREASE
cho tôi cho yếu đi đèn,đèn,DECREASE
vui lòng khỏi cần làm nhẹ lại đèn,đèn,INCREASE
giúp mình bật quạt,quạt,ON
cho tôi đừng có bật quạt,quạt,OFF
cho tôi đóng quạt,quạt,OFF
đừng có đóng quạt,quạt,ON
cho tôi làm mạnh hơn quạt,quạt,INCREASE
không cần vặn to quạt,quạt,DECREASE
giúp mình vặn nhỏ quạt,quạt,DECREASE
đừng có vặn nhỏ quạt,quạt,INCREASE
giúp mình mở đèn,đèn,ON
đừng có mở đèn,đèn,OFF
cho tôi đóng đèn,đèn,OFF
vui lòng không cần đóng đèn,đèn,ON
làm ơn vặn to đèn,đèn,INCREASE
không vặn to đèn,đèn,DECREASE
giúp mình cho yếu đi đèn,đèn,DECREASE
làm ơn đừng cho yếu đi đèn,đèn,INCREASE
vui lòng bật quạt,quạt,ON
cho tôi khỏi cần mở quạt,quạt,OFF
giúp mình đóng quạt,quạt,OFF
không cần đóng quạt,quạt,ON
làm mạnh hơn quạt,quạt,INCREASE
giúp mình đừng có cho mạnh hơn quạt,quạt,DECREASE
làm nhẹ lại quạt,quạt,DECREASE
làm ơn khỏi cần cho yếu đi quạt,quạt,INCREASE
mở đèn,đèn,ON
cho tôi không bật đèn,đèn,OFF
vui lòng tắt đèn,đèn,OFF
cho tôi không cần tắt đèn,đèn,ON
làm ơn cho mạnh hơn đèn,đèn,INCREASE
đừng có cho mạnh hơn đèn,đèn,DECREASE
giúp mình làm nhẹ lại đèn,đèn,DECREASE
vui lòng đừng làm nhẹ lại đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
đừng mở quạt,quạt,OFF
làm ơn đóng quạt,quạt,OFF
cho tôi không đóng quạt,quạt,ON
cho tôi cho mạnh hơn quạt,quạt,INCREASE
cho tôi không cần làm mạnh hơn quạt,quạt,DECREASE
cho tôi cho yếu đi quạt,quạt,DECREASE
làm ơn đừng có cho yếu đi quạt,quạt,INCREASE
cho tôi bật đèn,đèn,ON
giúp mình không cần bật đèn,đèn,OFF
giúp mình tắt đèn,đèn,OFF
không tắt đèn,đèn,ON
giúp mình cho mạnh hơn đèn,đèn,INCREASE
cho tôi đừng tăng đèn,đèn,DECREASE
giảm đèn,đèn,DECREASE
cho tôi không giảm đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
làm ơn không mở quạt,quạt,OFF
đóng quạt,quạt,OFF
vui lòng đừng có tắt quạt,quạt,ON
làm ơn vặn to quạt,quạt,INCREASE
làm ơn không vặn to quạt,quạt,DECREASE
làm ơn vặn nhỏ quạt,quạt,DECREASE
đừng có làm nhẹ lại quạt,quạt,INCREASE
cho tôi bật đèn,đèn,ON
giúp mình đừng có mở đèn,đèn,OFF
đóng đèn,đèn,OFF
giúp mình không cần tắt đèn,đèn,ON
cho tôi cho mạnh hơn đèn,đèn,INCREASE
vui lòng không cho mạnh hơn đèn,đèn,DECREASE
cho tôi giảm đèn,đèn,DECREASE
không cho yếu đi đèn,đèn,INCREASE
làm ơn mở quạt,quạt,ON
làm ơn đừng bật quạt,quạt,OFF
giúp mình đóng quạt,quạt,OFF
cho tôi khỏi cần đóng quạt,quạt,ON
vui lòng vặn to quạt,quạt,INCREASE
làm ơn không làm mạnh hơn quạt,quạt,DECREASE
cho yếu đi quạt,quạt,DECREASE
giúp mình khỏi cần làm nhẹ lại quạt,quạt,INCREASE
giúp mình mở đèn,đèn,ON
làm ơn đừng bật đèn,đèn,OFF
cho tôi tắt đèn,đèn,OFF
giúp mình không cần tắt đèn,đèn,ON
tăng đèn,đèn,INCREASE
làm ơn khỏi cần làm mạnh hơn đèn,đèn,DECREASE
vặn nhỏ đèn,đèn,DECREASE
giúp mình khỏi cần làm nhẹ lại đèn,đèn,INCREASE
giúp mình bật quạt,quạt,ON
vui lòng không bật quạt,quạt,OFF
giúp mình đóng quạt,quạt,OFF
vui lòng không đóng quạt,quạt,ON
vặn to quạt,quạt,INCREASE
giúp mình không cần vặn to quạt,quạt,DECREASE
làm ơn giảm quạt,quạt,DECREASE
đừng vặn nhỏ quạt,quạt,INCREASE
làm ơn bật đèn,đèn,ON
vui lòng không mở đèn,đèn,OFF
đóng đèn,đèn,OFF
vui lòng không tắt đèn,đèn,ON
cho mạnh hơn đèn,đèn,INCREASE
cho tôi không cần cho mạnh hơn đèn,đèn,DECREASE
vui lòng giảm đèn,đèn,DECREASE
vui lòng đừng có giảm đèn,đèn,INCREASE
vui lòng bật quạt,quạt,ON
vui lòng đừng bật quạt,quạt,OFF
cho tôi đóng quạt,quạt,OFF
đừng có đóng quạt,quạt,ON
làm ơn làm mạnh hơn quạt,quạt,INCREASE
vui lòng không cho mạnh hơn quạt,quạt,DECREASE
làm nhẹ lại quạt,quạt,DECREASE
giúp mình đừng giảm quạt,quạt,INCREASE
mở đèn,đèn,ON
vui lòng đừng mở đèn,đèn,OFF
tắt đèn,đèn,OFF
cho tôi đừng có tắt đèn,đèn,ON
cho tôi làm mạnh hơn đèn,đèn,INCREASE
vui lòng đừng có tăng đèn,đèn,DECREASE
vui lòng giảm đèn,đèn,DECREASE
cho tôi khỏi cần cho yếu đi đèn,đèn,INCREASE
làm ơn mở quạt,quạt,ON
vui lòng khỏi cần mở quạt,quạt,OFF
vui lòng đóng quạt,quạt,OFF
vui lòng đừng đóng quạt,quạt,ON
giúp mình tăng quạt,quạt,INCREASE
làm ơn đừng cho mạnh hơn quạt,quạt,DECREASE
vui lòng vặn nhỏ quạt,quạt,DECREASE
không giảm quạt,quạt,INCREASE
giúp mình bật đèn,đèn,ON
không cần mở đèn,đèn,OFF
cho tôi đóng đèn,đèn,OFF
giúp mình không tắt đèn,đèn,ON
cho tôi làm mạnh hơn đèn,đèn,INCREASE
cho tôi không vặn to đèn,đèn,DECREASE
cho tôi vặn nhỏ đèn,đèn,DECREASE
đừng có vặn nhỏ đèn,đèn,INCREASE
làm ơn bật quạt,quạt,ON
cho tôi không bật quạt,quạt,OFF
tắt quạt,quạt,OFF
cho tôi khỏi cần tắt quạt,quạt,ON
cho mạnh hơn quạt,quạt,INCREASE
giúp mình đừng tăng quạt,quạt,DECREASE
làm ơn cho yếu đi quạt,quạt,DECREASE
làm ơn không vặn nhỏ quạt,quạt,INCREASE
cho tôi bật đèn,đèn,ON
không cần bật đèn,đèn,OFF
đóng đèn,đèn,OFF
làm ơn đừng đóng đèn,đèn,ON
làm ơn làm mạnh hơn đèn,đèn,INCREASE
vui lòng không cần tăng đèn,đèn,DECREASE
cho tôi giảm đèn,đèn,DECREASE
không làm nhẹ lại đèn,đèn,INCREASE
giúp mình bật quạt,quạt,ON
đừng có bật quạt,quạt,OFF
giúp mình đóng quạt,quạt,OFF
vui lòng khỏi cần tắt quạt,quạt,ON
giúp mình cho mạnh hơn quạt,quạt,INCREASE
không cho mạnh hơn quạt,quạt,DECREASE
vui lòng vặn nhỏ quạt,quạt,DECREASE
cho tôi đừng có vặn nhỏ quạt,quạt,INCREASE
mở đèn,đèn,ON
cho tôi không cần mở đèn,đèn,OFF
giúp mình đóng đèn,đèn,OFF
vui lòng đừng tắt đèn,đèn,ON
